,polarity_oplexicon,polarity_sentilex,subject,journal,sent_none,sent_neg,sent_pos,sent_neut,opl_none,opl_neg,opl_pos,opl_neut,fileid
472,6,-1,reforma-trabalhista,epoca,361,9,8,3,288,25,31,37,epocanegocios.globo.com___Economia_noticia_2017_07_governo-quer-acelerar-reforma-trabalhista.html.txt
473,10,3,reforma-trabalhista,epoca,462,6,9,9,362,22,32,70,epocanegocios.globo.com___Economia_noticia_2017_09_mercado-de-trabalho-no-futuro-tera-jornadas-e-salarios-menores.html.txt
474,20,11,reforma-trabalhista,epoca,270,1,12,2,214,12,32,27,epocanegocios.globo.com___Economia_noticia_2017_10_empresas-ja-oferecem-vagas-pela-nova-clt.html.txt
475,19,-7,reforma-trabalhista,epoca,564,12,5,0,401,35,54,91,epocanegocios.globo.com___Economia_noticia_2017_11_epoca-negocios-apos-reforma-trabalhista-sindicatos-encolhem-e-demitem-para-sobreviver.html.txt
476,19,1,reforma-trabalhista,epoca,314,3,4,2,240,11,30,42,epocanegocios.globo.com___Economia_noticia_2017_11_epoca-negocios-com-nova-regra-empregado-intermitente-podera-ter-de-pagar-para-trabalhar.html.txt
477,18,14,reforma-previdencia,epoca,632,0,14,0,520,15,33,78,epocanegocios.globo.com___Economia_noticia_2019_02_reforma-da-previdencia-entenda-o-que-muda-segundo-o-projeto-apresentado-pelo-governo.html.txt
478,-3,1,reforma-previdencia,epoca,285,3,4,1,243,12,9,29,epocanegocios.globo.com___Economia_noticia_2019_03_uniao-tera-dificuldade-em-pagar-salarios-sem-reforma-da-previdencia.html.txt
479,9,7,reforma-previdencia,epoca,298,1,8,2,222,13,22,52,epocanegocios.globo.com___Economia_noticia_2019_05_epoca-negocios-reforma-da-previdencia-deve-forcar-pais-a-poupar-mais.html.txt
480,19,4,reforma-previdencia,epoca,315,3,7,4,257,6,25,41,epocanegocios.globo.com___Economia_noticia_2019_07_epoca-negocios-otimismo-com-reforma-da-previdencia-leva-ibovespa-a-novo-recorde.html.txt
481,24,15,reforma-previdencia,epoca,790,6,21,5,662,22,46,92,epocanegocios.globo.com___Economia_noticia_2019_07_reforma-da-previdencia-o-que-muda-na-sua-aposentadoria-com-o-texto-aprovado-pela-camara.html.txt
482,-1,-3,reforma-previdencia,epoca,243,7,4,0,203,12,11,28,epocanegocios.globo.com___Economia_noticia_2019_08_reforma-da-previdencia-segue-para-o-senado-com-economia-de-r-933-bilhoes.html.txt
483,1,-3,reforma-previdencia,epoca,315,5,2,2,259,13,14,38,epocanegocios.globo.com___Economia_noticia_2019_08_relator-desidrata-reforma-da-previdencia-em-r-31-bilhoes.html.txt
484,17,6,reforma-previdencia,epoca,183,3,9,1,149,4,21,22,epocanegocios.globo.com___Economia_noticia_2019_10_apos-acordo-senado-conclui-votacao-da-reforma-da-previdencia.html.txt
485,14,1,prisao-lula,epoca,817,19,20,3,685,27,41,106,epocanegocios.globo.com___Mundo_noticia_2018_05_confira-como-foram-manifestacoes-do-dia-do-trabalhado-no-brasil-e-no-mundo.html.txt
486,-1,-2,prisao-lula,epoca,198,4,2,0,163,14,13,14,epocanegocios.globo.com___Tecnologia_noticia_2018_06_pt-considera-usar-holograma-em-lancamento-de-pre-candidatura-de-lula.html.txt
487,8,2,reforma-trabalhista,epoca,170,1,3,2,142,2,10,22,epocanegocios.globo.com___estadao_noticia_2017_11_epoca-negocios-lg-alterou-contratos-um-dia-antes-da-entrada-em-vigor-da-nova-lei-trabalhista.html.txt
488,6,-7,prisao-lula,estadao,179,8,1,0,148,5,11,24,"esportes.estadao.com.br___noticias_futebol,mesmo-preso-lula-estreia-na-2-feira-como-comentarista-da-copa-do-mundo,70002351426.txt"
489,-8,-1,prisao-lula,g1,228,3,2,0,188,17,9,19,g1.globo.com___al_alagoas_noticia_manifestantes-fecham-br-101-em-al-contra-pedido-de-prisao-de-lula.ghtml.txt
490,0,3,reforma-trabalhista,g1,315,5,8,0,259,16,16,37,g1.globo.com___ap_amapa_noticia_nova-lei-trabalhista-e-tema-de-debate-com-empresarios-e-trabalhadores-em-macapa.ghtml.txt
491,-6,-3,reforma-trabalhista,g1,264,10,7,0,212,23,17,29,g1.globo.com___bahia_noticia_no-1-dia-de-vigencia-da-reforma-trabalhista-juiz-na-bahia-condena-funcionario-a-pagar-r-85-mil-por-suposta-conduta-de-ma-fe.ghtml.txt
492,1,-2,soltura-lula,g1,171,8,6,0,159,9,10,7,g1.globo.com___ce_ceara_noticia_2019_11_08_atos-em-fortaleza-celebram-soltura-de-lula.ghtml.txt
493,-7,12,impeachment-dilma,g1,345,0,12,2,272,24,17,46,g1.globo.com___distrito-federal_noticia_2016_08_prevendo-baixo-publico-gdf-desiste-de-muro-do-impeachment.html.txt
494,6,3,afastamento-aecio,g1,384,3,6,3,316,15,21,44,g1.globo.com___distrito-federal_noticia_pedrinho-raptado-em-maternidade-de-brasilia-atua-como-advogado-de-aecio.ghtml.txt
495,18,12,reforma-trabalhista,g1,416,5,17,2,330,20,38,52,g1.globo.com___economia_blog_thais-heredia_post_nova-lei-trabalhista-aproxima-brasil-dos-paises-desenvolvidos.html.txt
496,12,3,reforma-trabalhista,g1,374,15,18,12,314,13,25,67,g1.globo.com___economia_blog_thais-heredia_post_virada-liberal-um-ano-de-temer.html.txt
497,58,40,reforma-trabalhista,g1,865,12,52,9,680,35,93,130,g1.globo.com___economia_concursos-e-emprego_noticia_mp-que-ajusta-nova-lei-trabalhista-veda-seguro-desemprego-para-trabalhador-intermitente-entenda-as-mudancas.ghtml.txt
498,65,21,reforma-trabalhista,g1,811,5,26,6,629,23,88,108,g1.globo.com___economia_concursos-e-emprego_noticia_nova-lei-trabalhista-entra-em-vigor-no-sabado-veja-as-principais-mudancas.ghtml.txt
499,-1,-10,afastamento-aecio,g1,328,12,2,1,277,18,17,31,g1.globo.com___economia_negocios_noticia_jbs-anuncia-programa-de-desinvestimentos-de-r-6-bilhoes.ghtml.txt
500,7,0,reforma-previdencia,g1,249,2,2,1,199,9,16,30,g1.globo.com___economia_noticia_2019_02_05_guedes-diz-que-intencao-e-economizar-r-1-trilhao-em-dez-anos-com-reforma-da-previdencia.ghtml.txt
501,10,-1,reforma-previdencia,g1,907,10,9,7,739,23,33,138,g1.globo.com___economia_noticia_2019_02_20_reforma-da-previdencia-entenda-a-proposta-ponto-a-ponto.ghtml.txt
502,8,6,reforma-previdencia,g1,424,0,6,0,392,4,12,22,g1.globo.com___economia_noticia_2019_02_20_reforma-da-previdencia-veja-simulacoes.ghtml.txt
503,4,1,reforma-previdencia,g1,345,2,3,3,277,14,18,44,g1.globo.com___economia_noticia_2019_03_20_reforma-da-previdencia-dos-militares-entenda-a-proposta-ponto-a-ponto.ghtml.txt
504,4,-1,reforma-previdencia,g1,288,9,8,1,231,17,21,37,g1.globo.com___economia_noticia_2019_05_24_guedes-diz-que-pode-renunciar-se-reforma-da-previdencia-nao-sair.ghtml.txt
505,46,17,reforma-previdencia,g1,1664,12,29,10,1381,34,80,220,g1.globo.com___economia_noticia_2019_07_05_reforma-da-previdencia-entenda-ponto-a-ponto-a-proposta-que-vai-ao-plenario-da-camara.ghtml.txt
506,7,0,reforma-previdencia,g1,423,2,2,2,364,7,14,44,g1.globo.com___economia_noticia_2019_10_03_desidratacao-da-reforma-da-previdencia-sera-compensada-no-pacto-federativo-diz-secretario.ghtml.txt
507,35,15,reforma-previdencia,g1,1748,14,29,17,1435,44,79,250,g1.globo.com___economia_noticia_2019_10_22_reforma-da-previdencia-entenda-ponto-a-ponto-a-proposta-aprovada-em-2o-turno-no-senado.ghtml.txt
508,-1,-2,soltura-lula,g1,172,5,3,2,148,6,5,23,g1.globo.com___economia_noticia_2019_11_08_bovespa.ghtml.txt
509,40,15,reforma-previdencia,g1,2044,14,29,17,1692,43,83,286,g1.globo.com___economia_noticia_2019_11_12_saiba-o-que-muda-com-a-reforma-da-previdencia.ghtml.txt
510,5,-1,soltura-lula,g1,251,4,3,0,197,8,13,40,g1.globo.com___economia_noticia_2019_11_14_dolar.ghtml.txt
511,25,8,reforma-trabalhista,g1,222,1,9,0,157,9,34,32,g1.globo.com___economia_noticia_com-fim-da-contribuicao-obrigatoria-ministro-estima-que-mais-de-3-mil-sindicatos-desaparecerao.ghtml.txt
512,40,-11,reforma-trabalhista,g1,847,18,7,2,677,41,81,75,g1.globo.com___economia_noticia_como-a-reforma-trabalhista-pode-afetar-os-sindicatos-e-seus-150-mil-funcionarios.ghtml.txt
513,73,20,reforma-trabalhista,g1,988,16,36,6,787,41,114,104,g1.globo.com___economia_noticia_confira-o-que-pode-mudar-com-a-reforma-trabalhista.ghtml.txt
514,13,-2,reforma-trabalhista,g1,246,6,4,1,179,17,30,31,g1.globo.com___economia_noticia_contribuicao-sindical-sera-opcional-na-nova-lei-trabalhista-entenda-o-que-mudou.ghtml.txt
515,6,-2,prisao-lula,g1,248,8,6,0,201,10,16,35,g1.globo.com___economia_noticia_cotacao-dolar-050418.ghtml.txt
516,66,9,reforma-trabalhista,g1,1028,7,16,9,806,37,103,114,g1.globo.com___economia_noticia_empresas-devem-adotar-gradativamente-novidades-da-lei-trabalhista.ghtml.txt
517,40,5,reforma-trabalhista,g1,1130,3,8,0,905,13,53,170,g1.globo.com___economia_noticia_entenda-a-regra-de-transicao-da-reforma-da-previdencia-e-veja-simulacoes.ghtml.txt
518,27,18,reforma-trabalhista,g1,382,0,18,2,303,11,38,50,g1.globo.com___economia_noticia_ferias-ficam-mais-flexiveis-com-a-nova-lei-trabalhista-veja-o-que-muda.ghtml.txt
519,38,9,reforma-trabalhista,g1,542,4,13,5,424,21,59,60,g1.globo.com___economia_noticia_nova-lei-trabalhista-banco-de-horas-podera-ser-negociado-diretamente-com-o-patrao-entenda.ghtml.txt
520,24,18,reforma-trabalhista,g1,553,1,19,3,421,24,48,83,g1.globo.com___economia_noticia_nova-lei-trabalhista-cria-regras-para-home-office-entenda.ghtml.txt
521,14,7,reforma-trabalhista,g1,296,4,11,0,227,16,30,38,g1.globo.com___economia_noticia_nova-lei-trabalhista-preve-demissao-por-acordo-entenda.ghtml.txt
522,45,23,reforma-trabalhista,g1,714,5,28,10,555,31,76,95,g1.globo.com___economia_noticia_nova-lei-trabalhista-regulamenta-o-trabalho-esporadico-entenda.ghtml.txt
523,16,3,reforma-trabalhista,g1,408,6,9,0,302,25,41,55,g1.globo.com___economia_noticia_nova-lei-trabalhista-rescisao-nao-precisa-mais-de-homologacao-no-sindicato-entenda.ghtml.txt
524,29,3,reforma-trabalhista,g1,374,3,6,2,283,13,42,47,g1.globo.com___economia_noticia_nova-lei-trabalhista-vai-gerar-mais-de-6-milhoes-de-empregos-diz-meirelles.ghtml.txt
525,59,15,reforma-trabalhista,g1,668,0,15,5,533,16,75,64,g1.globo.com___economia_noticia_nova-lei-trabalhista-veja-pontos-que-precisam-de-negociacao-para-entrar-em-vigor.ghtml.txt
526,26,10,reforma-trabalhista,g1,561,4,14,3,441,28,54,59,g1.globo.com___economia_noticia_numero-de-acoes-judiciais-dispara-na-vespera-da-mudanca-da-lei-trabalhista.ghtml.txt
527,12,-1,reforma-trabalhista,g1,177,3,2,0,136,3,15,28,g1.globo.com___economia_noticia_reforma-trabalhista-cria-limite-para-terceirizacao-entenda-as-regras.ghtml.txt
528,70,19,reforma-trabalhista,g1,980,14,33,6,778,42,112,101,g1.globo.com___economia_noticia_reforma-trabalhista-e-aprovada-no-senado-confira-o-que-muda-na-lei.ghtml.txt
529,-1,-1,reforma-trabalhista,g1,102,3,2,1,74,7,6,21,g1.globo.com___economia_noticia_reforma-trabalhista-e-boa-para-os-consumidores-diz-roberto-setubal.ghtml.txt
530,13,8,reforma-trabalhista,g1,373,0,8,2,292,13,26,52,g1.globo.com___economia_noticia_reforma-trabalhista-e-publicada-no-diario-oficial-da-uniao.ghtml.txt
531,56,20,reforma-trabalhista,g1,866,8,28,8,681,28,84,117,g1.globo.com___economia_noticia_reforma-trabalhista-opoe-cni-e-cut-veja-o-que-pensam-empresarios-e-trabalhadores.ghtml.txt
532,6,0,reforma-trabalhista,g1,194,1,1,0,149,8,14,25,g1.globo.com___economia_noticia_reforma-trabalhista-vai-gerar-2-milhoes-de-empregos-em-dois-anos-diz-ministro.ghtml.txt
533,41,16,reforma-trabalhista,g1,680,5,21,3,529,19,60,101,g1.globo.com___economia_noticia_reforma-trabalhista-veja-ajustes-que-governo-deve-fazer-na-lei-que-comeca-a-vigora-neste-sabado.ghtml.txt
534,15,0,reforma-trabalhista,g1,179,4,4,0,141,7,22,17,g1.globo.com___economia_noticia_uruguai-questiona-nova-lei-trabalhista-brasileira-e-quer-discutir-tema-no-mercosul.ghtml.txt
535,-2,-1,soltura-lula,g1,247,3,2,0,197,10,8,37,g1.globo.com___fato-ou-fake_noticia_2019_11_11_e-fake-que-apresentadoras-e-reporteres-da-globo-usaram-vermelho-apos-lula-sair-da-prisao.ghtml.txt
536,2,2,soltura-lula,g1,58,0,2,0,53,0,2,5,g1.globo.com___fato-ou-fake_noticia_2019_11_11_e-fake-que-video-mostre-toffoli-comemorando-em-festa-apos-decisao-do-stf-contra-prisao-em-segunda-instancia.ghtml.txt
537,-1,-3,reforma-trabalhista,g1,785,15,12,3,686,26,25,78,g1.globo.com___goias_noticia_manifestantes-impedem-circulacao-de-onibus-do-eixo-anhanguera-em-goiania.ghtml.txt
538,-19,0,impeachment-dilma,g1,312,3,3,0,245,30,11,32,g1.globo.com___jornal-nacional_noticia_2016_06_pericia-conclui-que-dilma-nao-participou-de-pedaladas-fiscais.html.txt
539,-10,-2,reforma-trabalhista,g1,275,8,6,0,235,17,7,30,g1.globo.com___jornal-nacional_noticia_2017_03_brasil-tem-dia-de-protestos-contra-reformas-trabalhista-e-da-previdencia.html.txt
540,5,1,reforma-trabalhista,g1,195,1,2,1,146,7,12,34,g1.globo.com___jornal-nacional_noticia_2017_04_conheca-principais-mudancas-propostas-pelas-reformas.html.txt
541,-14,-10,afastamento-aecio,g1,534,19,9,2,426,46,32,60,g1.globo.com___jornal-nacional_noticia_2017_05_aecio-neves-e-afastado-da-funcao-de-senador-e-deixa-presidencia-do-psdb.html.txt
542,14,0,afastamento-aecio,g1,705,15,15,2,582,32,46,77,g1.globo.com___jornal-nacional_noticia_2017_05_joesley-pede-para-nomear-presidente-da-vale-em-troca-de-dinheiro-aecio.html.txt
543,15,-3,reforma-trabalhista,g1,442,12,9,1,374,16,31,43,g1.globo.com___jornal-nacional_noticia_2017_07_senadoras-da-oposicao-ocupam-mesa-do-plenario-e-impedem-votacao.html.txt
544,29,1,afastamento-aecio,g1,589,7,8,0,491,19,48,46,g1.globo.com___jornal-nacional_noticia_2017_10_assessoria-de-aecio-divulga-audio-de-andrea-neves-com-joesley.html.txt
545,17,8,reforma-trabalhista,g1,198,4,12,0,158,12,29,15,g1.globo.com___jornal-nacional_noticia_2017_11_reforma-trabalhista-tambem-traz-mudancas-para-acoes-na-justica.html.txt
546,19,3,reforma-trabalhista,g1,305,4,7,2,228,13,32,45,g1.globo.com___jornal-nacional_noticia_2017_11_veja-os-principais-pontos-das-novas-regras-da-reforma-trabalhista.html.txt
547,5,-6,prisao-lula,g1,738,23,17,7,656,33,38,58,g1.globo.com___jornal-nacional_noticia_2018_04_prisao-de-lula-e-consequencia-da-condenacao-no-caso-do-triplex.html.txt
548,-20,0,prisao-lula,g1,633,23,23,5,541,59,39,45,g1.globo.com___jornal-nacional_noticia_2018_07_lula-e-mais-seis-sao-absolvidos-da-acusacao-de-obstrucao-de-justica.html.txt
549,6,-1,prisao-lula,g1,192,2,1,1,147,6,12,31,g1.globo.com___jornal-nacional_noticia_2018_07_presidente-do-stj-rejeita-143-pedidos-de-habeas-corpus-para-lula.html.txt
550,4,-6,reforma-previdencia,g1,273,12,6,4,226,16,20,33,g1.globo.com___jornal-nacional_noticia_2019_07_15_senadores-estudam-proposta-paralela-para-incluir-estados-na-previdencia.ghtml.txt
551,31,3,reforma-previdencia,g1,463,4,7,3,355,18,49,55,g1.globo.com___jornal-nacional_noticia_2019_10_25_veja-como-ficaram-as-regras-de-transicao-para-a-aposentadoria-com-a-reforma-da-previdencia.ghtml.txt
552,-3,-6,impeachment-dilma,g1,201,9,3,1,162,11,8,33,g1.globo.com___mato-grosso_noticia_2016_07_manifestantes-fazem-protesto-em-mt-favor-do-impeachment-de-dilma.html.txt
553,0,4,afastamento-aecio,g1,183,1,5,1,152,14,14,10,g1.globo.com___minas-gerais_noticia_defesa-de-frederico-pacheco-primo-de-aecio-neves-entrega-dinheiro-em-agencia-da-caixa-em-bh.ghtml.txt
554,14,-10,afastamento-aecio,g1,737,18,8,2,626,33,47,59,g1.globo.com___minas-gerais_noticia_em-delacao-joesley-batista-diz-que-aecio-pediu-para-ele-comprar-imoveis-no-rio-e-em-bh-para-pagar-dividas.ghtml.txt
555,8,2,prisao-lula,g1,497,18,20,5,395,31,39,75,g1.globo.com___mundo_blog_helio-gurovitz_post_2018_03_23_lula-solto-stf-na-lona.ghtml.txt
556,2,-2,soltura-lula,g1,70,4,2,0,56,5,7,8,g1.globo.com___pb_paraiba_noticia_2019_11_08_manifestacao-a-favor-do-ex-presidente-lula-acontece-em-joao-pessoa.ghtml.txt
557,7,-6,soltura-lula,g1,155,9,3,1,138,4,11,15,g1.globo.com___pe_pernambuco_noticia_2019_11_08_militantes-se-reunem-no-recife-e-festejam-a-libertacao-de-lula.ghtml.txt
558,4,2,soltura-lula,g1,125,0,2,1,97,4,8,19,g1.globo.com___pe_pernambuco_noticia_2019_11_17_lula-participa-de-festival-de-musica-no-recife.ghtml.txt
559,-2,-1,soltura-lula,g1,28,1,0,0,22,4,2,1,g1.globo.com___politica_ao-vivo_stf-julgamento-prisao-de-condenados-segunda-instancia.ghtml.txt
560,-5,-3,soltura-lula,g1,147,6,3,2,122,10,5,21,g1.globo.com___politica_blog_gerson-camarotti_post_2019_11_08_em-liberdade-lula-comeca-a-buscar-polarizacao-bolsonaro-deve-resgatar-discurso-antipetista.ghtml.txt
561,7,4,impeachment-dilma,g1,82,0,4,1,64,3,10,10,g1.globo.com___politica_blog_matheus-leitao_post_cardozo-emociona-senadores-pro-impeachment-e-recebe-ligacao-de-dilma.html.txt
562,-3,0,reforma-previdencia,g1,237,2,2,2,175,17,14,37,g1.globo.com___politica_blog_valdo-cruz_post_2019_03_11_pec-do-pacto-federativo-vai-ajudar-a-aprovar-reforma-da-previdencia-avalia-paulo-guedes.ghtml.txt
563,6,14,impeachment-dilma,g1,889,7,21,4,705,41,47,128,g1.globo.com___politica_noticia_2015_12_eduardo-cunha-informa-que-autorizou-processo-de-impeachment-de-dilma.html.txt
564,9,7,impeachment-dilma,g1,581,15,22,5,476,32,41,74,g1.globo.com___politica_noticia_2015_12_leia-integra-da-carta-enviada-pelo-vice-michel-temer-dilma.html.txt
565,-9,-18,impeachment-dilma,g1,675,29,11,3,549,45,36,88,g1.globo.com___politica_noticia_2016_03_por-aclamacao-pmdb-oficializa-rompimento-com-governo-dilma.html.txt
566,7,7,impeachment-dilma,g1,230,4,11,3,179,15,22,32,g1.globo.com___politica_noticia_2016_05_audio-de-juca-deixa-evidente-carater-golpista-do-impeachment-diz-dilma.html.txt
567,16,2,soltura-lula,g1,535,13,15,2,438,33,49,45,g1.globo.com___politica_noticia_2018_12_04_apos-dois-votos-contra-liberdade-de-lula-julgamento-na-2a-turma-do-stf-e-adiado.ghtml.txt
568,18,1,soltura-lula,g1,577,20,21,0,487,29,47,55,g1.globo.com___politica_noticia_2018_12_19_marco-aurelio-mello-determina-soltura-de-todos-os-presos-com-condenacao-apos-2a-instancia.ghtml.txt
569,7,0,reforma-previdencia,g1,278,0,0,0,218,6,13,41,g1.globo.com___politica_noticia_2019_02_14_reforma-da-previdencia-preve-idade-minima-de-65-anos-para-homens-e-62-para-mulheres-diz-secretario.ghtml.txt
570,8,1,reforma-previdencia,g1,306,3,4,1,251,13,21,29,g1.globo.com___politica_noticia_2019_03_23_bolsonaro-e-maia-travam-duelo-de-declaracoes-sobre-votacao-da-previdencia-veja-frases.ghtml.txt
571,-12,-6,reforma-previdencia,g1,865,28,22,13,693,54,42,139,g1.globo.com___politica_noticia_2019_04_03_ccj-da-camara-ouve-paulo-guedes-sobre-reforma-da-previdencia.ghtml.txt
572,7,3,reforma-previdencia,g1,310,3,6,3,242,12,19,49,g1.globo.com___politica_noticia_2019_04_09_bolsonaro-e-maia-dizem-que-nao-gostariam-de-fazer-reforma-da-previdencia-mas-sao-obrigados.ghtml.txt
573,5,4,reforma-previdencia,g1,237,3,7,3,191,13,18,28,g1.globo.com___politica_noticia_2019_04_16_apos-12-horas-ccj-encerra-debate-sobre-previdencia-sessao-sera-retomada-nesta-quarta.ghtml.txt
574,12,7,reforma-previdencia,g1,532,2,9,2,430,22,34,59,g1.globo.com___politica_noticia_2019_04_23_ccj-da-camara-da-aval-a-reforma-da-previdencia-e-texto-segue-para-comissao-especial.ghtml.txt
575,7,3,reforma-previdencia,g1,205,2,5,3,151,12,19,33,g1.globo.com___politica_noticia_2019_04_25_entenda-os-proximos-passos-da-reforma-da-previdencia-na-comissao-especial.ghtml.txt
576,9,2,reforma-previdencia,g1,701,7,9,3,591,23,32,74,g1.globo.com___politica_noticia_2019_06_06_governadores-vao-divulgar-carta-de-repudio-contra-retirada-dos-estados-da-reforma-da-previdencia.ghtml.txt
577,3,-6,soltura-lula,g1,241,10,4,3,196,18,21,23,g1.globo.com___politica_noticia_2019_06_11_lewandowski-vota-para-derrubar-sumula-do-trf-4-que-ordena-prisao-apos-condenacao-em-2a-instancia.ghtml.txt
578,5,5,reforma-previdencia,g1,162,3,8,2,117,10,15,33,g1.globo.com___politica_noticia_2019_06_18_comissao-da-camara-discutira-reforma-previdencia-nesta-terca-saiba-como-sera-a-sessao.ghtml.txt
579,14,8,reforma-previdencia,g1,382,0,8,0,311,10,24,45,g1.globo.com___politica_noticia_2019_07_04_comissao-especial-da-camara-dos-deputados-aprova-texto-base-da-reforma-da-previdencia.ghtml.txt
580,21,11,reforma-previdencia,g1,236,0,11,3,187,7,28,28,g1.globo.com___politica_noticia_2019_07_04_reforma-da-previdencia-veja-as-proximas-etapas-da-tramitacao-apos-a-comissao-especial.ghtml.txt
581,-1,-5,reforma-previdencia,g1,887,13,8,3,712,48,47,104,g1.globo.com___politica_noticia_2019_07_10_camara-aprova-em-primeiro-turno-texto-base-da-pec-da-previdencia.ghtml.txt
582,25,19,reforma-previdencia,g1,810,10,29,8,645,40,65,107,g1.globo.com___politica_noticia_2019_08_07_camara-rejeita-destaques-e-aprova-reforma-da-previdencia-em-2o-turno-texto-vai-ao-senado.ghtml.txt
583,3,2,reforma-previdencia,g1,264,1,3,1,225,6,9,29,g1.globo.com___politica_noticia_2019_08_15_votacao-da-reforma-da-previdencia-no-senado-e-adiada-em-uma-semana.ghtml.txt
584,0,3,reforma-previdencia,g1,452,1,4,0,387,12,12,46,g1.globo.com___politica_noticia_2019_08_20_ccj-do-senado-comeca-debates-sobre-reforma-da-previdencia.ghtml.txt
585,7,0,reforma-previdencia,g1,195,1,1,0,165,5,12,15,g1.globo.com___politica_noticia_2019_09_23_alcolumbre-convoca-sessao-do-congresso-e-adia-reforma-da-previdencia-para-quarta-feira.ghtml.txt
586,10,3,reforma-previdencia,g1,465,1,4,4,394,12,22,46,g1.globo.com___politica_noticia_2019_10_01_reforma-da-previdencia-ccj-aprova-relatorio-e-texto-segue-para-o-plenario-do-senado.ghtml.txt
587,2,-5,soltura-lula,g1,754,36,31,5,608,59,61,98,g1.globo.com___politica_noticia_2019_10_23_relator-no-stf-vota-contra-prisao-apos-condenacao-em-segunda-instancia-e-a-favor-de-liberar-presos.ghtml.txt
588,-6,-12,soltura-lula,g1,933,50,38,9,755,81,75,119,g1.globo.com___politica_noticia_2019_10_23_supremo-suspende-sessao-com-tres-votos-a-um-a-favor-da-prisao-apos-condenacao-em-2a-instancia.ghtml.txt
589,14,10,reforma-previdencia,g1,543,5,15,2,435,22,36,72,g1.globo.com___politica_noticia_2019_11_06_previdencia-senado-aprova-em-1o-turno-texto-base-da-pec-que-inclui-estados-e-municipios-na-reforma.ghtml.txt
590,-2,-37,soltura-lula,g1,793,46,9,1,742,29,27,51,g1.globo.com___politica_noticia_2019_11_09_cidades-tem-manifestacoes-contra-decisao-do-stf-sobre-prisao-apos-condenacao-em-segunda-instancia.ghtml.txt
591,0,-4,soltura-lula,g1,152,7,3,0,142,6,6,8,g1.globo.com___politica_noticia_2019_12_10_pesquisa-datafolha-aponta-que-54percent-consideram-justa-e-42percent-injusta-a-libertacao-de-lula.ghtml.txt
592,4,4,prisao-lula,g1,299,11,15,1,251,18,22,35,g1.globo.com___politica_noticia_ao-stf-dodge-defende-prisao-apos-2-instancia-e-diz-que-revisao-da-medida-poe-em-xeque-seriedade-do-sistema-juridico.ghtml.txt
593,25,10,reforma-trabalhista,g1,807,10,20,10,634,48,73,92,g1.globo.com___politica_noticia_apos-sessao-tumultuada-senado-aprova-texto-base-da-reforma-trabalhista.ghtml.txt
594,-7,-1,afastamento-aecio,g1,539,16,15,1,424,45,38,64,g1.globo.com___politica_noticia_audio-aecio-e-joesley-batista-acertam-pagamento-de-r-2-milhoes.ghtml.txt
595,81,40,reforma-trabalhista,g1,1690,31,71,10,1334,76,157,235,g1.globo.com___politica_noticia_camara-aprova-texto-base-da-reforma-trabalhista.ghtml.txt
596,9,2,afastamento-aecio,g1,260,4,6,2,214,13,22,23,g1.globo.com___politica_noticia_cinco-senadores-assinam-recurso-para-desarquivar-pedido-de-cassacao-de-aecio.ghtml.txt
597,1,2,prisao-lula,g1,103,4,6,0,92,4,5,12,g1.globo.com___politica_noticia_comandante-do-exercito-diz-que-compartilha-anseio-de-repudio-a-impunidade.ghtml.txt
598,-15,-10,afastamento-aecio,g1,489,21,11,5,421,43,28,34,g1.globo.com___politica_noticia_decisao-do-afastamento-do-senador-aecio-neves-veja-perguntas-e-respostas.ghtml.txt
599,-16,-6,prisao-lula,g1,229,16,10,0,203,29,13,10,g1.globo.com___politica_noticia_defesa-de-lula-quer-que-stf-conceda-prisao-domiciliar-se-pedido-de-liberdade-do-ex-presidente-for-rejeitado.ghtml.txt
600,-3,-2,prisao-lula,g1,364,12,10,0,287,33,30,36,g1.globo.com___politica_noticia_defesa-de-lula-recorre-de-decisao-de-fachin-e-pede-ao-stf-a-libertacao-de-ex-presidente.ghtml.txt
601,6,1,prisao-lula,g1,307,8,9,1,249,23,29,24,g1.globo.com___politica_noticia_defesa-faz-novo-pedido-ao-stf-para-tentar-evitar-prisao-de-lula.ghtml.txt
602,10,-3,prisao-lula,g1,238,9,6,1,201,13,23,17,g1.globo.com___politica_noticia_fachin-nega-novo-pedido-de-lula-para-evitar-prisao.ghtml.txt
603,11,10,afastamento-aecio,g1,558,15,25,3,452,33,44,72,g1.globo.com___politica_noticia_grampo-da-pf-mostra-bronca-de-aecio-em-zeze-perrella-por-declaracao.ghtml.txt
604,24,13,reforma-trabalhista,g1,520,7,20,3,399,26,50,75,g1.globo.com___politica_noticia_itens-da-reforma-trabalhista-sao-questionados-em-acoes-no-stf-saiba-quais.ghtml.txt
605,-11,-23,prisao-lula,g1,278,28,5,1,219,29,18,46,g1.globo.com___politica_noticia_luiz-inacio-lula-da-silva-e-primeiro-ex-presidente-brasileiro-preso-por-crime-comum.ghtml.txt
606,16,-31,prisao-lula,g1,878,31,0,0,797,28,44,40,g1.globo.com___politica_noticia_lula-tem-31-bolsonaro-15-marina-10-aponta-pesquisa-datafolha-para-2018.ghtml.txt
607,29,2,prisao-lula,g1,469,17,19,2,401,24,53,29,g1.globo.com___politica_noticia_maioria-do-supremo-decide-julgar-pedido-de-habeas-corpus-preventivo-de-lula-para-evitar-ser-preso.ghtml.txt
